[2024-02-26 13:54:47.070]	 List of discovered tpm plugins: arcticicestudio/nord-tmux tmux-plugins/tmux-prefix-highlight tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum
[2024-02-26 15:28:17.716]	 Invoking /home/hillton/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-02-26 15:28:17.763]	 Done.

[2024-02-26 15:33:28.701]	 List of discovered tpm plugins: arcticicestudio/nord-tmux tmux-plugins/tmux-prefix-highlight christoomey/vim-tmux-navigator tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum
[2024-02-26 15:33:28.711]	 Invoking /home/hillton/.config/tmux/plugins/tpm/bin/install_plugins
[2024-02-26 15:33:28.743]	 Already installed "nord-tmux"
[2024-02-26 15:33:28.743]	 Already installed "tmux-prefix-highlight"
[2024-02-26 15:33:28.744]	 Already installed "vim-tmux-navigator"
[2024-02-26 15:33:28.744]	 Already installed "tmux-copycat"
[2024-02-26 15:33:28.744]	 Already installed "tmux-cpu"
[2024-02-26 15:33:28.744]	 Already installed "tmux-resurrect"
[2024-02-26 15:33:28.745]	 Already installed "tmux-continuum"
[2024-02-26 15:33:28.756]	 Invoking /home/hillton/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-02-26 15:33:28.770]	 Updating all plugins!
[2024-02-26 15:33:28.770]	 
[2024-02-26 15:33:29.542]	   "nord-tmux" update success
[2024-02-26 15:33:29.542]	   "tmux-prefix-highlight" update success
[2024-02-26 15:33:29.543]	   "tmux-copycat" update success
[2024-02-26 15:33:29.544]	   "vim-tmux-navigator" update success
[2024-02-26 15:33:29.545]	     | Already up to date.
[2024-02-26 15:33:29.545]	     | Already up to date.
[2024-02-26 15:33:29.546]	     | Already up to date.
[2024-02-26 15:33:29.547]	     | Already up to date.
[2024-02-26 15:33:29.548]	   "tmux-cpu" update success
[2024-02-26 15:33:29.550]	     | Already up to date.
[2024-02-26 15:33:29.567]	   "tmux-resurrect" update success
[2024-02-26 15:33:29.569]	     | Already up to date.
[2024-02-26 15:33:29.581]	   "tmux-continuum" update success
[2024-02-26 15:33:29.583]	     | Already up to date.
[2024-02-26 15:33:29.594]	 Invoking /home/hillton/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-02-26 15:33:29.641]	 Done.

[2024-02-26 15:33:58.084]	 List of discovered tpm plugins: arcticicestudio/nord-tmux tmux-plugins/tmux-prefix-highlight christoomey/vim-tmux-navigator tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum
[2024-02-26 15:33:58.096]	 Invoking /home/hillton/.config/tmux/plugins/tpm/bin/install_plugins
[2024-02-26 15:33:58.128]	 Already installed "tmux-prefix-highlight"
[2024-02-26 15:33:58.128]	 Already installed "nord-tmux"
[2024-02-26 15:33:58.128]	 Already installed "vim-tmux-navigator"
